team,fifa_rank_april_2026,ranking_source,ranking_note
France,1,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Spain,2,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Argentina,3,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
England,4,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Portugal,5,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Brazil,6,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Netherlands,7,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Morocco,8,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Belgium,9,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Germany,10,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Croatia,11,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Colombia,13,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Senegal,14,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Mexico,15,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
USA,16,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Uruguay,17,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Japan,18,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Switzerland,19,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
IR Iran,21,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Turkiye,22,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Ecuador,23,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Austria,24,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Korea Republic,25,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Australia,27,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Algeria,28,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Egypt,29,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Canada,30,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Norway,31,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Panama,33,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Cote d'Ivoire,34,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Sweden,38,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Paraguay,40,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Czechia,41,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Scotland,43,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Tunisia,44,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Congo DR,46,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Uzbekistan,50,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Qatar,55,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Iraq,57,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
South Africa,60,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Saudi Arabia,61,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Jordan,63,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Bosnia and Herzegovina,65,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Cabo Verde,69,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Ghana,74,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Curacao,82,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
Haiti,83,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
New Zealand,85,FIFA/ESPN April 2026 reference,Use official FIFA points when API/table access is added
