team,matches_counted,last_match_date,wins,draws,losses,points,points_per_match,goals_for,goals_against,goal_difference,weighted_form_0_100
Argentina,12,2026-06-06,10,1,1,31,2.583,28,4,24,89.15
Germany,12,2026-06-06,9,0,3,27,2.25,29,12,17,86.93
Turkiye,12,2026-06-06,9,1,2,28,2.333,27,15,12,83.99
Austria,12,2026-06-01,9,1,2,28,2.333,29,7,22,81.15
Belgium,12,2026-06-06,8,4,0,28,2.333,42,10,32,80.0
Cote d'Ivoire,12,2026-06-04,9,1,2,28,2.333,29,8,21,79.93
Japan,12,2026-05-31,7,3,2,24,2.0,19,7,12,78.34
France,12,2026-06-08,9,1,2,28,2.333,31,14,17,78.06
Morocco,12,2026-06-07,8,4,0,28,2.333,25,4,21,76.15
Algeria,12,2026-06-03,8,3,1,27,2.25,24,5,19,74.45
Portugal,12,2026-06-06,8,3,1,27,2.25,33,13,20,74.3
Spain,12,2026-06-08,8,4,0,28,2.333,35,10,25,74.24
England,12,2026-06-06,9,1,2,28,2.333,26,5,21,73.89
Mexico,12,2026-06-04,6,4,2,22,1.833,17,9,8,71.4
Croatia,12,2026-06-07,9,1,2,28,2.333,31,11,20,70.67
Netherlands,12,2026-06-08,8,3,1,27,2.25,32,8,24,70.13
Brazil,12,2026-06-06,7,2,3,23,1.917,26,11,15,68.23
Korea Republic,12,2026-06-03,8,1,3,25,2.083,21,12,9,67.81
Colombia,12,2026-06-07,7,3,2,24,2.0,26,11,15,67.62
Senegal,12,2026-05-31,8,1,3,25,2.083,27,11,16,66.95
Norway,12,2026-06-07,8,3,1,27,2.25,35,8,27,66.91
Congo DR,12,2026-06-03,7,3,2,24,2.0,14,6,8,66.1
Czechia,12,2026-06-04,6,4,2,22,1.833,25,14,11,65.83
IR Iran,12,2026-06-04,6,3,3,21,1.75,21,8,13,63.99
Iraq,12,2026-06-04,7,3,2,24,2.0,13,8,5,63.36
Scotland,12,2026-06-06,7,1,4,22,1.833,26,13,13,62.63
Ecuador,12,2026-06-07,4,8,0,20,1.667,12,5,7,62.14
Switzerland,12,2026-06-06,7,4,1,25,2.083,30,10,20,60.79
Canada,12,2026-06-05,5,6,1,21,1.75,14,5,9,55.78
Egypt,12,2026-06-06,6,3,3,21,1.75,15,10,5,55.28
Paraguay,12,2026-06-05,5,3,4,18,1.5,16,12,4,53.45
Panama,12,2026-06-06,5,5,2,20,1.667,20,17,3,53.34
Australia,12,2026-06-06,7,1,4,22,1.833,16,11,5,52.15
South Africa,12,2026-06-06,5,4,3,19,1.583,16,11,5,50.63
USA,12,2026-06-06,6,1,5,19,1.583,21,20,1,49.25
Cabo Verde,12,2026-06-06,5,5,2,20,1.667,20,13,7,48.02
Bosnia and Herzegovina,12,2026-06-06,4,6,2,18,1.5,22,12,10,46.02
Uruguay,12,2026-03-31,4,5,3,17,1.417,10,10,0,45.92
Haiti,12,2026-06-05,4,4,4,16,1.333,17,13,4,45.62
Curacao,12,2026-06-06,4,4,4,16,1.333,21,17,4,43.44
Saudi Arabia,12,2026-06-05,5,1,6,16,1.333,13,15,-2,40.7
Uzbekistan,12,2026-06-08,4,5,3,17,1.417,16,11,5,40.42
Sweden,12,2026-06-04,4,3,5,15,1.25,19,23,-4,40.07
Jordan,12,2026-06-07,5,2,5,17,1.417,21,21,0,39.41
Tunisia,12,2026-06-06,3,5,4,14,1.167,14,16,-2,34.86
Ghana,12,2026-06-02,4,2,6,14,1.167,16,16,0,30.03
Qatar,12,2026-06-06,1,5,6,8,0.667,9,20,-11,20.83
New Zealand,12,2026-06-06,2,1,9,7,0.583,9,20,-11,17.99
