source_name,platform,team_or_scope,video_id,title,published,updated,author,url,embed_url,thumbnail_url,matched_keywords,relevance_score,is_mens_world_cup_relevant,exclusion_reason,rights_posture,analysis_allowed_v1,download_allowed,retrieved_on,is_relevant_mens_worldcup_2026,cleaning_exclusion_reason
FIFA,YouTube,Global,N18F4wyrImo,Messi's Best World Cup Free Kick? #shorts #messi #worldcup,2026-06-09T03:30:09+00:00,2026-06-09T03:30:09+00:00,FIFA,https://www.youtube.com/shorts/N18F4wyrImo,https://www.youtube.com/embed/N18F4wyrImo,https://i3.ytimg.com/vi/N18F4wyrImo/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
England,YouTube,England,S8z7Z5ZDYPY,"""It was sick, I looked sick!""  💇‍♂️ Budweiser FIFA World Cup Can Challenge",2026-06-09T13:00:29+00:00,2026-06-09T13:38:03+00:00,England,https://www.youtube.com/shorts/S8z7Z5ZDYPY,https://www.youtube.com/embed/S8z7Z5ZDYPY,https://i4.ytimg.com/vi/S8z7Z5ZDYPY/hqdefault.jpg,world cup|fifa|highlights,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
England,YouTube,England,UjncvgcJ5Sg,Arsenal Stars Arrive 👋 Guéhi Picks His USA GOATs 🐐 Anderson Tees It Up 🏌️ | Ep.1 | Extra Time,2026-06-08T17:00:29+00:00,2026-06-09T09:37:19+00:00,England,https://www.youtube.com/watch?v=UjncvgcJ5Sg,https://www.youtube.com/embed/UjncvgcJ5Sg,https://i2.ytimg.com/vi/UjncvgcJ5Sg/hqdefault.jpg,world cup|fifa|highlights,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
England,YouTube,England,SDZqIHQtZfM,These Three Lions have game... 🏀👀 | Extra Edge Challenge,2026-06-08T15:28:41+00:00,2026-06-09T06:26:42+00:00,England,https://www.youtube.com/shorts/SDZqIHQtZfM,https://www.youtube.com/embed/SDZqIHQtZfM,https://i4.ytimg.com/vi/SDZqIHQtZfM/hqdefault.jpg,highlights,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
England,YouTube,England,pP6zyQGshBI,"""I can't look you in the eyes!"" 🤣 | Stones, Konsa and Burn's Budweiser FIFA World Cup Can Challenge",2026-06-08T13:00:30+00:00,2026-06-08T17:11:05+00:00,England,https://www.youtube.com/watch?v=pP6zyQGshBI,https://www.youtube.com/embed/pP6zyQGshBI,https://i1.ytimg.com/vi/pP6zyQGshBI/hqdefault.jpg,world cup|fifa|highlights,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
England,YouTube,England,QpMcpu-JB-c,Three Lions Start Summer With A Win | HIGHLIGHTS | England v New Zealand | Men | International Match,2026-06-07T22:00:38+00:00,2026-06-08T06:08:53+00:00,England,https://www.youtube.com/watch?v=QpMcpu-JB-c,https://www.youtube.com/embed/QpMcpu-JB-c,https://i2.ytimg.com/vi/QpMcpu-JB-c/hqdefault.jpg,world cup|fifa|highlights,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
England,YouTube,England,q2hQP-_wKng,Building the Dream: Lift-Off | Episode 1 | England Originals,2026-06-07T18:00:02+00:00,2026-06-08T14:22:03+00:00,England,https://www.youtube.com/watch?v=q2hQP-_wKng,https://www.youtube.com/embed/q2hQP-_wKng,https://i2.ytimg.com/vi/q2hQP-_wKng/hqdefault.jpg,world cup|highlights|interview,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,PGlWHog36nQ,26 Stories To '26 with USMNT's Sebastian Berhalter,2026-06-09T00:28:05+00:00,2026-06-09T02:46:51+00:00,U.S. Soccer,https://www.youtube.com/watch?v=PGlWHog36nQ,https://www.youtube.com/embed/PGlWHog36nQ,https://i1.ytimg.com/vi/PGlWHog36nQ/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,_82GqyIlc3g,26 Stories To '26 with USMNT's Auston Trusty,2026-06-09T00:27:20+00:00,2026-06-09T00:27:24+00:00,U.S. Soccer,https://www.youtube.com/watch?v=_82GqyIlc3g,https://www.youtube.com/embed/_82GqyIlc3g,https://i4.ytimg.com/vi/_82GqyIlc3g/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,KeVAMfgO60Y,26 Stories To '26 with USMNT's Malik Tillman,2026-06-09T00:26:45+00:00,2026-06-09T02:06:31+00:00,U.S. Soccer,https://www.youtube.com/watch?v=KeVAMfgO60Y,https://www.youtube.com/embed/KeVAMfgO60Y,https://i4.ytimg.com/vi/KeVAMfgO60Y/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
