team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Norway,Erling Haaland,35,4,0,2022-06-02,2025-11-16
France,Kylian Mbappé,27,9,0,2022-06-10,2025-11-13
England,Harry Kane,26,10,0,2022-06-07,2025-11-16
Portugal,Cristiano Ronaldo,26,6,0,2022-06-05,2025-10-14
Netherlands,Cody Gakpo,18,5,0,2022-06-14,2025-11-17
Belgium,Romelu Lukaku,18,2,0,2023-03-24,2025-06-09
Iraq,Aymen Hussein,17,3,0,2022-02-01,2026-03-31
Sweden,Viktor Gyökeres,17,2,0,2022-06-12,2026-03-31
Portugal,Bruno Fernandes,17,3,0,2022-03-29,2025-11-16
Argentina,Lionel Messi,17,4,0,2022-03-25,2025-09-04
IR Iran,Mehdi Taremi,17,4,0,2022-01-27,2025-06-10
Egypt,Mohamed Salah,16,4,0,2022-01-15,2026-01-10
Croatia,Andrej Kramarić,16,2,0,2022-06-06,2025-09-08
Netherlands,Memphis Depay,15,3,0,2022-06-03,2025-11-14
Austria,Marko Arnautović,14,4,0,2022-06-03,2025-11-15
New Zealand,Chris Wood,14,0,0,2022-03-21,2025-03-21
Korea Republic,Son Heung-min,14,4,0,2022-03-24,2024-11-19
Qatar,Almoez Ali,14,2,0,2023-11-16,2024-11-14
Scotland,Scott McTominay,13,1,0,2023-03-25,2025-11-18
Bosnia and Herzegovina,Edin Džeko,12,0,0,2022-06-14,2026-03-26
Austria,Michael Gregoritsch,12,0,0,2022-06-03,2025-11-18
Spain,Mikel Oyarzabal,12,3,0,2023-11-16,2025-11-18
Panama,Ismael Díaz,12,2,0,2023-07-04,2025-10-14
Austria,Marcel Sabitzer,12,3,0,2022-03-24,2025-09-09
Argentina,Lautaro Martínez,12,0,0,2022-01-27,2025-09-04
Qatar,Akram Afif,12,5,0,2024-01-12,2025-03-20
Jordan,Yazan Al-Naimat,12,1,0,2023-11-16,2024-11-19
Japan,Ayase Ueda,12,2,0,2023-11-16,2024-09-10
Turkiye,Kerem Aktürkoğlu,11,0,0,2023-03-25,2026-03-31
Senegal,Sadio Mané,11,2,0,2022-01-10,2026-01-14
Norway,Alexander Sørloth,11,0,0,2022-06-12,2025-11-13
Belgium,Kevin De Bruyne,11,3,0,2022-06-08,2025-10-13
IR Iran,Sardar Azmoun,11,0,0,2022-03-29,2025-03-20
Spain,Álvaro Morata,11,0,0,2022-06-02,2024-10-15
Switzerland,Breel Embolo,10,0,0,2022-09-24,2025-11-15
Spain,Mikel Merino,10,0,0,2023-09-12,2025-10-14
Ecuador,Enner Valencia,10,3,0,2022-03-29,2025-09-09
Colombia,Luis Díaz,10,1,0,2022-03-24,2025-06-10
Jordan,Musa Al-Taamari,10,1,0,2024-01-15,2025-03-20
Spain,Ferran Torres,9,1,0,2022-11-23,2025-11-15
England,Bukayo Saka,9,0,0,2022-11-21,2025-11-13
Ghana,Jordan Ayew,9,4,0,2024-01-22,2025-10-08
Jordan,Ali Olwan,9,3,0,2024-03-21,2025-06-05
Netherlands,Wout Weghorst,9,1,0,2022-06-08,2024-11-16
Switzerland,Zeki Amdouni,9,1,0,2023-03-25,2024-11-15
Portugal,Gonçalo Ramos,8,0,0,2022-12-06,2025-11-16
