team,group,confederation,host,model_strength_score,model_strength_z,data_confidence_0_1,rank_strength_0_100,form_strength_0_100,opponent_adjusted_form_0_100,opponent_quality_index_0_100,fifa_rank_april_2026,matches_counted,points_per_match,goal_diff_per_match,goals_for_per_match,goals_against_per_match,attack_balance,defensive_stability,attack_efficiency_proxy,defense_resilience_proxy,squad_depth_proxy,squad_completeness_0_1,fitness_availability_0_1,fitness_risk_score_0_100,source_reliability_0_1,injury_severity_total,recent_goal_scorers,recent_scorer_goals_total,scorer_concentration_top5,video_source_rows,relevant_video_score,power_rating,form_index,attack,midfield,defense,depth,tactical_style,last_match_date,wins,draws,losses,points,goals_for,goals_against,goal_difference,weighted_form_0_100,avg_recent_opponent_rank,recent_clean_sheet_rate,recent_failed_to_score_rate,competitive_match_share,recent_home_match_share,recent_neutral_match_share,recent_upset_score,recent_cross_confed_share,squad_rows,squad_rating_mean,squad_rating_weighted_minutes,attack_player_rating,midfield_player_rating,defense_player_rating,expected_minutes_total,avg_injury_risk,fitness_flag_count,projected_player_xg,active_injury_count,top_scorer_goals,top5_scorer_goals,penalty_goal_share,training_video_count,highlight_video_count,press_video_count,confederation_strength_factor
Argentina,J,CONMEBOL,0,81.55140064618041,1.7238770903039466,0.5826923076923077,97.61904761904762,89.15,63.972,32.68456091252173,3,12,2.583,2.0,2.3333333333333335,0.3333333333333333,1.5,96.0,62.534848484848496,91.60029985007496,68.96923076923078,0.038461538461538464,1.0,12.5,0.8499999999999999,0.0,15,65,0.677,0.0,0.0,90,81,89,89,86,84,controlled possession,2026-06-06,10,1,1,31,28,4,24,89.15,54.917,0.667,0.083,0.5,0.583,0.25,0.0,0.333,1.0,88.0,88.0,88.0,0.0,0.0,260.0,0.08,0.0,1.9,0.0,17,44,0.062,0.0,0.0,0.0,0.97
Spain,H,UEFA,0,79.96827867504875,1.6045970903304967,0.6576923076923078,98.80952380952381,74.24,62.444,45.58368316159947,2,12,2.333,2.0833333333333335,2.9166666666666665,0.8333333333333334,0.5,91.84210526315789,84.22878787878787,74.68050185433597,69.51923076923077,0.038461538461538464,1.0,10.937500000000002,0.8499999999999999,0.0,30,101,0.485,0.0,0.0,89,82,88,90,85,85,positional possession,2026-06-08,8,4,0,28,35,10,25,74.24,48.833,0.583,0.083,0.667,0.583,0.25,1.0,0.5,1.0,88.0,88.0,0.0,88.0,0.0,260.0,0.07,0.0,0.8,0.0,12,49,0.059,0.0,0.0,0.0,1.0
France,I,UEFA,0,78.76891235157174,1.5142310808623631,0.6376923076923078,100.0,78.06,63.0,44.87554594411228,1,12,2.333,1.4166666666666667,2.5833333333333335,1.1666666666666667,3.5,91.73684210526315,73.04848484848486,50.84551408506273,71.11923076923077,0.038461538461538464,1.0,12.5,0.8499999999999999,0.0,26,83,0.627,0.0,0.0,91,82,91,88,87,87,explosive transitions,2026-06-08,9,1,2,28,31,14,17,78.06,49.167,0.333,0.0,0.667,0.417,0.333,0.0,0.417,1.0,90.0,90.0,90.0,0.0,0.0,260.0,0.08,0.0,2.0,0.0,27,52,0.12,0.0,0.0,0.0,1.0
Portugal,K,UEFA,0,78.41260561313473,1.4873852227880628,0.6276923076923078,95.23809523809523,74.3,59.028,35.512869439850746,5,12,2.25,1.6666666666666667,2.75,1.0833333333333333,4.5,89.26315789473684,83.0,52.08761934822063,69.76923076923077,0.038461538461538464,1.0,14.0625,0.8499999999999999,0.0,24,107,0.607,0.0,0.0,89,81,90,87,84,85,creative possession,2026-06-06,8,3,1,27,33,13,20,74.3,53.583,0.333,0.167,0.75,0.5,0.083,1.05,0.333,1.0,89.0,89.0,89.0,0.0,0.0,250.0,0.09,0.0,1.8,0.0,26,65,0.084,0.0,0.0,0.0,1.0
England,L,UEFA,0,77.80323570114096,1.4414723718442535,0.7376923076923076,96.42857142857143,73.89,47.861,19.433490226010253,4,12,2.333,1.75,2.1666666666666665,0.4166666666666667,3.0,93.47368421052632,62.97878787878788,94.9578947368421,69.51923076923077,0.038461538461538464,1.0,12.5,0.9999999999999999,0.0,28,79,0.62,6.0,16.0,88,80,88,86,84,85,balanced possession,2026-06-06,9,1,2,28,26,5,21,73.89,61.167,0.75,0.083,0.583,0.667,0.167,0.0,0.333,1.0,88.0,88.0,88.0,0.0,0.0,255.0,0.08,0.0,1.7,0.0,26,49,0.152,0.0,6.0,0.0,1.0
Netherlands,F,UEFA,0,74.68700780755188,1.2066808208187407,0.6376923076923078,92.85714285714286,70.13,52.194,19.78755883475385,7,12,2.25,2.0,2.6666666666666665,0.6666666666666666,-1.0,93.89473684210526,78.06060606060606,67.3653120808017,67.11923076923077,0.038461538461538464,1.0,9.375,0.8499999999999999,0.0,26,99,0.576,0.0,0.0,87,80,85,86,86,82,positional possession,2026-06-08,8,3,1,27,32,8,24,70.13,61.0,0.417,0.083,0.667,0.667,0.083,0.0,0.333,1.0,85.0,85.0,0.0,0.0,85.0,270.0,0.06,0.0,0.3,0.0,18,57,0.111,0.0,0.0,0.0,1.0
Germany,E,UEFA,0,74.40519536736049,1.1854477203555351,0.6226923076923077,89.28571428571429,86.93,54.667,36.0429122673112,10,12,2.25,1.4166666666666667,2.4166666666666665,1.0,1.0,89.78947368421052,64.65378787878788,59.59689102817012,68.46923076923078,0.038461538461538464,1.0,12.5,0.8499999999999999,0.0,23,68,0.471,0.0,0.0,88,80,87,88,84,84,structured possession,2026-06-06,9,0,3,27,29,12,17,86.93,53.333,0.417,0.167,0.667,0.583,0.0,0.0,0.417,1.0,86.0,86.0,0.0,86.0,0.0,250.0,0.08,0.0,0.7,0.0,8,32,0.118,0.0,0.0,0.0,1.0
Brazil,C,CONMEBOL,0,73.95536741680226,1.1515555257495262,0.6076923076923078,94.04761904761905,68.23,65.472,80.56650977398975,6,12,1.917,1.25,2.1666666666666665,0.9166666666666666,4.5,92.3157894736842,55.34015151515152,61.838996291328016,70.31923076923078,0.038461538461538464,1.0,14.0625,0.8499999999999999,0.0,20,50,0.56,0.0,0.0,90,79,91,87,86,86,technical possession,2026-06-06,7,2,3,23,26,11,15,68.23,32.333,0.417,0.167,0.417,0.667,0.417,0.0,0.833,1.0,89.0,89.0,89.0,0.0,0.0,255.0,0.09,0.0,1.8,0.0,7,28,0.14,0.0,0.0,0.0,0.97
Belgium,G,UEFA,0,73.9284115473364,1.1495245412974096,0.61,90.47619047619048,80.0,61.167,27.9141754653776,9,12,2.333,2.6666666666666665,3.5,0.8333333333333334,3.0,87.84210526315789,87.90909090909092,68.28080170441095,43.45,0.0,0.0,20.0,0.8499999999999999,0.0,22,75,0.613,0.0,0.0,85,77,85,83,81,79,creative possession,2026-06-06,8,4,0,28,42,10,32,80.0,57.167,0.5,0.083,0.667,0.417,0.083,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,46,0.08,0.0,0.0,0.0,1.0
Morocco,C,CAF,0,72.06779231284706,1.0093365669735848,0.6026923076923076,91.66666666666666,76.15,57.333,24.02790145443752,8,12,2.333,1.75,2.0833333333333335,0.3333333333333333,-1.5,94.0,53.00984848484849,91.20029985007496,64.96923076923078,0.038461538461538464,1.0,10.937500000000002,0.8499999999999999,0.0,19,54,0.519,0.0,0.0,84,78,82,83,84,79,disciplined transition,2026-06-07,8,4,0,28,25,4,21,76.15,59.0,0.667,0.083,0.583,1.0,0.25,0.0,0.333,1.0,83.0,83.0,0.0,0.0,83.0,270.0,0.07,0.0,0.2,0.0,7,28,0.093,0.0,0.0,0.0,0.82
