source_name,platform,team_or_scope,channel_url,channel_id,feed_url,status,notes
FIFA,YouTube,Global,https://www.youtube.com/@fifa,UCpcTrCXblq78GZrTUTLWeBw,https://www.youtube.com/feeds/videos.xml?channel_id=UCpcTrCXblq78GZrTUTLWeBw,resolved,resolved from public channel page
FIFA Plus,Web,Global,https://www.fifa.com/fifaplus,,,manual_or_api_only,Use links and metadata only unless licensed.
England,YouTube,England,https://www.youtube.com/@england,UCNT2e7Og56vm5_V-yJWvglA,https://www.youtube.com/feeds/videos.xml?channel_id=UCNT2e7Og56vm5_V-yJWvglA,resolved,resolved from public channel page
US Soccer,YouTube,USA,https://www.youtube.com/@ussoccer,UCk1pcWQ5E19g0Cgp4c1eI1w,https://www.youtube.com/feeds/videos.xml?channel_id=UCk1pcWQ5E19g0Cgp4c1eI1w,resolved,resolved from public channel page
Canada Soccer,YouTube,Canada,https://www.youtube.com/@canadasoccertv,UCPwOPM0PbkY0S1V_OqA-xjg,https://www.youtube.com/feeds/videos.xml?channel_id=UCPwOPM0PbkY0S1V_OqA-xjg,resolved,resolved from public channel page
U.S. Soccer Federation,Web,USA,https://www.ussoccer.com,,,manual_or_api_only,Useful for press releases and match reports.
England Football,Web,England,https://www.englandfootball.com,,,manual_or_api_only,Useful for squads training and match reports.
ESPN FC,YouTube,Media,https://www.youtube.com/@ESPNFC,UCiWLfSweyRNmLpgEHekhoAg,https://www.youtube.com/feeds/videos.xml?channel_id=UCiWLfSweyRNmLpgEHekhoAg,resolved,resolved from public channel page
Sky Sports Premier League,YouTube,Media,https://www.youtube.com/@skysportspremierleague,UCTU_wC79Dgi9rh4e9-baTqA,https://www.youtube.com/feeds/videos.xml?channel_id=UCTU_wC79Dgi9rh4e9-baTqA,resolved,resolved from public channel page
beIN SPORTS,YouTube,Media,https://www.youtube.com/@beinsports,UCJUCcJUeh0Cz2xyKwkw5Q1w,https://www.youtube.com/feeds/videos.xml?channel_id=UCJUCcJUeh0Cz2xyKwkw5Q1w,resolved,resolved from public channel page
Instagram Official Team Accounts,Instagram,Multiple,,,,manual_or_api_only,Do not scrape; add manually verified URLs or use approved API.
Facebook Official Team Pages,Facebook,Multiple,,,,manual_or_api_only,Do not scrape; add manually verified URLs or use approved API.
